Faculty Name,County Name,Beginning Date Q1,Ending Date Q1,Type of Hospital,Teaching/Rural Hospital,Available Beds Q1,Staff Beds Q1,Total Outpatient Visits Q1,Total Gross Inpatient Revenue Q1,Total Patient (Census) Days,Total Gross Outpatient Revenue Q1,Total Deductions from Revenue Q1,Total Capitation Premium Revenue Q1,Total Net Patient Revenue Q1,Total Operating Expenses Q1,Expenses (Inpatient) Q1,Expenses (Outpatient) Q1,PPC Expenses Q1,Log Total Outpatient Visits Q1,Log Total Gross Inpatient Revenue Q1,Log Total Patient (Census) Days Q1,Log Total Gross Outpatient Revenue Q1,Log Total Deductions from Revenue Q1,Log Total Capitation Premium Revenue Q1,Log Total Deductions from Revenue Q1,Log Total Net Patient Revenue Q1,Log Total Operating Expenses Q1,Log Expenses (Inpatient) Q1,Log Expenses (Outpatient) Q1,Log PPC Expenses Q1,Beginning Date Q2,Ending Date Q2,Available Beds Q2,Staff Beds Q2,Total Outpatient Visits Q2,Total Gross Inpatient Revenue Q2,Total Patient (Census) Days Q2,Total Gross Outpatient Revenue Q2,Total Deductions from Revenue Q2,Total Capitation Premium Revenue Q2,Total Net Patient Revenue Q2,Total Operating Expenses Q2,Inpatient Expenses Q2,Outpatient Expenses Q2,PCC Expenses Q2,Log Total Outpatient Visits Q2,Log Total Gross Inpatient Revenue Q2,Log Total Patient (Census) Days Q2,Log Total Gross Outpatient Revenue Q2,Log Total Deductions from Revenue Q2,Log Total Capitation Premium Revenue Q2,Log Total Deductions from Revenue Q2,Log Total Net Patient Revenue Q2,Log Total Operating Expenses Q2,Log Expenses (Inpatient) Q2,Log Expenses (Outpatient) Q2,Log PPC Expenses Q2
SAN JOSE BEHAVIORAL HEALTH,Santa Clara,1/1/2024,3/31/2024,Comparable,N/A,133,133,1768,28985203,9995,1821750,11212889,0,19594064,11187138,0,0,0,7.478169694,17.18229605,9.209940292,14.41530868,16.53071842,15.46989946,16.53071842,16.79073727,16.23027537,0,0,0,4/1/2024,6/30/2024,133,133,1555,32113762,11078,1441350,11965469,0,21589643,12519885,0,0,0,7.349873705,17.28479525,9.312806704,14.18109143,17.86297011,14.47025573,17.86297011,16.88772431,16.34282882,0,0,0
SAN LUIS OBISPO COUNTY - PHF,San Luis Obispo,1/1/2024,3/31/2024,Psychiatric Health Facilities,N/A,16,16,0,1154333,1184,0,0,0,1154333,1325907,0,0,282940,0,13.95903411,7.077498054,0,15.17516855,15.46989946,15.17516855,13.95903411,14.09760807,0,0,12.55299367,4/1/2024,6/30/2024,16,16,0,1065239,1105,0,0,0,1065239,1294925,0,0,282040,0,13.87871068,7.008505182,0,17.6285164,14.47025573,17.6285164,13.87871068,14.07396411,0,0,12.54980773
SAN MATEO MEDICAL CENTER,San Mateo,1/1/2024,3/31/2024,Comparable,N/A,448,448,109411,53444035,30068,103399616,70077741,3086516,89852426,112343697,0,0,8051377,11.60287585,17.79414561,10.31125002,18.45411182,18.11920534,15.93373991,18.11920534,18.31367918,18.53707346,0,0,15.90135381,4/1/2024,6/30/2024,448,448,107382,51716604,30153,117367009,74513480,1353450,95923583,89357471,0,0,8703978,11.58415716,17.76128947,10.31407286,18.58081642,18.60133289,15.00277515,18.60133289,18.37906243,18.30815542,0,0,15.97929084
SAN RAMON REGIONAL MEDICAL CENTER,Contra Costa,1/1/2024,3/31/2024,Comparable,N/A,116,41,11392,211137830,3658,179818440,345151782,0,45804488,46216399,0,0,0,9.340754411,19.16802171,8.204945165,19.00745824,19.67071612,15.46989946,19.67071612,17.63989266,17.64884527,0,0,0,4/1/2024,6/30/2024,116,42,11872,210905848,3787,184522842,348592725,0,46835965,46285421,0,0,0,9.382022194,19.16692238,8.239593454,19.03328382,19.79155452,14.47025573,19.79155452,17.66216197,17.65033761,0,0,0
SANTA BARBARA COTTAGE HOSPITAL,Santa Barbara,1/1/2024,3/31/2024,Comparable,Teaching,392,308,34846,482705551,25262,203575368,468765161,0,217515758,230094299,0,0,10331296,10.45872233,19.9949174,10.13709615,19.13154686,19.97388692,15.46989946,19.97388692,19.19778186,19.25399978,0,0,16.15068839,4/1/2024,6/30/2024,392,294,36752,493916681,24067,214625837,474465134,0,234077384,231980443,0,0,11665589,10.51197513,20.0178774,10.08863844,19.18440678,20.06886136,14.47025573,20.06886136,19.27116232,19.26216363,0,0,16.27215404
SANTA BARBARA PSYCHIATRIC HEALTH FACILITY,Santa Barbara,1/1/2024,3/31/2024,Psychiatric Health Facilities,N/A,16,16,0,0,0,0,0,0,0,2941976,0,0,0,0,0,0,0,15.17516855,15.46989946,15.17516855,0,14.89459236,0,0,0,4/1/2024,6/30/2024,16,16,0,0,0,0,0,0,0,3407893,0,0,0,0,0,0,0,17.6285164,14.47025573,17.6285164,0,15.04160506,0,0,0
SANTA CLARA VALLEY MEDICAL CENTER,Santa Clara,1/1/2024,3/31/2024,Comparable,Teaching,1036,751,252360,1276155002,56873,1013110901,1726891786,125134532,687508649,908988272,0,0,0,12.43861588,20.96711749,10.94859357,20.73629153,21.27184185,18.68584428,21.27184185,20.34858497,20.62784275,0,0,0,4/1/2024,6/30/2024,1036,711,259848,1255400146,53706,1057536490,1734121435,194511680,773326881,885185258,0,0,0,12.46785597,20.9507202,10.89129863,20.77920798,21.29954645,19.09584893,21.29954645,20.46621239,20.60130751,0,0,0
SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL,Los Angeles,1/1/2024,3/31/2024,Comparable,Teaching,281,281,55025,442565085,21470,249865243,485479671,13413941,220364598,227825826,0,0,0,10.91556108,19.9080981,9.974458466,19.33643231,20.00863867,16.7410255,20.00863867,19.210794,19.24409198,0,0,0,4/1/2024,6/30/2024,281,281,58027,454160030,21126,266275133,507602362,13158497,225991298,218188191,0,0,0,10.96868093,19.93396019,9.958307122,19.40004067,20.13066731,16.52908872,20.13066731,19.23600706,19.20086851,0,0,0
SANTA YNEZ VALLEY COTTAGE HOSPITAL,Santa Barbara,1/1/2024,3/31/2024,Comparable,Rural,8,8,7823,1744893,156,20631377,14223814,0,8152456,7286535,0,0,304642,8.964951212,14.37220437,5.056245805,16.84232368,16.71245373,15.46989946,16.71245373,15.91382991,15.80153882,0,0,12.62689588,4/1/2024,6/30/2024,8,8,8412,1500485,116,21518749,15041454,0,7977780,7536603,0,0,393228,9.037533408,14.22129961,4.762173935,16.88443521,17.91530378,14.47025573,17.91530378,15.89217086,15.83528224,0,0,12.88214742
SCRIPPS GREEN HOSPITAL,San Diego,1/1/2024,3/31/2024,Comparable,N/A,150,100,25436,293983075,8198,306277265,481033223,0,119227117,99172096,0,0,1571751,10.14396009,19.49903276,9.011767475,19.54000135,19.99951116,15.46989946,19.99951116,18.59654079,18.41236725,0,0,14.26770148,4/1/2024,6/30/2024,150,96,25938,287413710,7831,314268168,481560115,0,120121763,96713533,0,0,1579621,10.16350291,19.47643324,8.965973184,19.56575722,20.08241974,14.47025573,20.08241974,18.60401649,18.38726391,0,0,14.27269614
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,San Diego,1/1/2024,3/31/2024,Comparable,N/A,186,168,22230,325669739,14002,265781997,468161277,38512,123328971,103721784,0,0,9119607,10.00924299,19.60139436,9.547026871,19.39818697,19.97260847,15.47723632,19.97260847,18.63036591,18.45722273,0,0,16.02593738,4/1/2024,6/30/2024,186,162,22853,316158500,13424,274628399,462765810,51699,128072788,101611936,0,0,10205850,10.03688144,19.57175423,9.504873919,19.43092947,20.04609469,14.49676277,20.04609469,18.66810932,18.43667158,0,0,16.13847174
SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,San Diego,1/1/2024,3/31/2024,Comparable,N/A,401,313,25452,942670410,27747,513396802,1168031557,-4448133,283587522,223519065,0,0,4146056,10.14458889,20.66422727,10.23091904,20.0565596,20.88191474,13.56929028,20.88191474,19.46303136,19.22500727,0,0,15.23766832,4/1/2024,6/30/2024,401,291,26456,925681170,25633,539609943,1178403601,-1924651,284962861,222441509,0,0,4214343,10.18327605,20.64604043,10.15167487,20.10635711,20.92513669,0,20.92513669,19.46786942,19.22017475,0,0,15.2540045
SCRIPPS MERCY HOSPITAL,San Diego,1/1/2024,3/31/2024,Comparable,Teaching,559,470,49739,955540817,41691,560463679,1236899740,-5229882,273874874,302429160,0,0,7131907,10.81456472,20.67778804,10.63806454,20.144275,20.93901782,0,20.93901782,19.4281819,19.52735763,0,0,15.78008936,4/1/2024,6/30/2024,559,448,51170,941072811,39524,576498102,1186032755,1186853,332725011,303227699,0,0,7449957,10.84292824,20.66253107,10.58468866,20.17248261,20.93135188,14.95061709,20.93135188,19.62282692,19.52999457,0,0,15.82371895
SELECT SPECIALTY HOSPITAL - SAN DIEGO,San Diego,1/1/2024,3/31/2024,Comparable,N/A,88,88,0,260211073,7706,0,242224018,0,17987055,16659533,0,0,0,0,19.37700368,8.949884286,0,19.32132523,15.46989946,19.32132523,16.70516295,16.62849322,0,0,0,4/1/2024,6/30/2024,88,88,0,257739652,7704,0,237788193,0,19951459,16637400,0,0,0,0,19.36746054,8.949624748,0,19.46122085,14.47025573,19.46122085,16.80881288,16.62716379,0,0,0
SEMPERVIRENS P.H.F.,Humboldt,1/1/2024,3/31/2024,Psychiatric Health Facilities,N/A,16,16,0,2548399,1243,0,0,0,2548399,2850166,0,0,0,0,14.75097627,7.126087273,0,15.17516855,15.46989946,15.17516855,14.75097627,14.86288815,0,0,0,4/1/2024,6/30/2024,16,16,0,2843628,1387,0,0,0,2843628,3019587,0,0,0,0,14.86059161,7.235619141,0,17.6285164,14.47025573,17.6285164,14.86059161,14.92063096,0,0,0
SENECA HEALTHCARE DISTRICT,Plumas,1/1/2024,3/31/2024,Comparable,Rural,26,26,5756,1310566,1367,4067306,448328,0,4929544,5218966,0,0,610163,8.658171785,14.08597043,7.221105098,15.21849167,15.28411943,15.46989946,15.28411943,15.41075725,15.46781005,0,0,13.32148305,4/1/2024,6/30/2024,26,26,7353,1236942,1386,5296594,-1803618,0,8337154,5574652,0,0,674477,8.902999662,14.02815357,7.23489842,15.48257472,17.58787464,14.47025573,17.58787464,15.93623259,15.53374063,0,0,13.42169434
SEQUOIA HOSPITAL,San Mateo,1/1/2024,3/31/2024,Comparable,N/A,114,53,16065,178162439,4415,216883916,318755712,184179,76474822,85332679,0,0,0,9.684460517,18.99820628,8.392989588,19.19487282,19.59208048,15.5045102,19.59208048,18.15247213,18.26206806,0,0,0,4/1/2024,6/30/2024,114,52,15815,173444623,4347,217187846,311830816,61393,78863046,84092337,0,0,0,9.668777365,18.97136894,8.377471248,19.19627319,19.6935745,14.50165578,19.6935745,18.18322332,18.24742601,0,0,0
SHARP CHULA VISTA MEDICAL CENTER,San Diego,1/1/2024,3/31/2024,Comparable,N/A,449,381,45613,629325148,31556,317044829,806901494,16754964,156223447,166485763,0,0,0,10.72796997,20.26015861,10.35955071,19.57455374,20.51352748,16.905864,20.51352748,18.8667979,18.93042036,0,0,0,4/1/2024,6/30/2024,449,379,47814,614262910,31385,340774207,815022144,17276137,157291110,165479602,0,0,0,10.77509468,20.23593359,10.35411721,19.64673067,20.57280161,16.77046193,20.57280161,18.87360886,18.9243585,0,0,0
SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER,San Diego,1/1/2024,3/31/2024,Comparable,N/A,177,116,24735,76464790,9855,128004044,166614760,5453281,43307355,43007507,0,0,0,10.11601495,18.15234094,9.195835686,18.66757242,18.95430228,16.1841796,18.95430228,17.58383306,17.57688526,0,0,0,4/1/2024,6/30/2024,177,127,27472,79453165,10801,129281672,171093206,5373237,43014868,42897476,0,0,0,10.22095898,18.1906783,9.287486581,18.67750409,19.19254466,15.80309569,19.19254466,17.5770564,17.57432357,0,0,0
SHARP GROSSMONT HOSPITAL,San Diego,1/1/2024,3/31/2024,Comparable,N/A,516,439,111796,845798184,36293,517246372,1137024766,23458627,249478417,265871929,0,0,0,11.62444001,20.55579134,10.49940772,20.06402986,20.85510046,17.17200725,20.85510046,19.33488297,19.39852528,0,0,0,4/1/2024,6/30/2024,515,430,112743,803433883,35576,526009543,1108363584,25546634,246626476,255943904,0,0,0,11.63287504,20.50440545,10.47945464,20.08082992,20.86619662,17.12865187,20.86619662,19.32338551,19.36046886,0,0,0
SHARP MCDONALD CENTER,San Diego,1/1/2024,3/31/2024,Comparable,N/A,16,8,923,2511653,675,1324373,2586730,28105,1277401,1037760,0,0,0,6.828712072,14.73645206,6.516193076,14.09645045,15.68447656,15.475259,15.68447656,14.06033889,13.85257607,0,0,0,4/1/2024,6/30/2024,16,10,900,2916010,572,1776403,2784369,0,1908044,1305684,0,0,0,6.803505258,14.88572714,6.350885717,14.39010165,17.68818396,14.47025573,17.68818396,14.46158972,14.08223837,0,0,0
SHARP MEMORIAL HOSPITAL,San Diego,1/1/2024,3/31/2024,Comparable,N/A,656,457,66293,1111202356,41109,692854848,1532387323,72120220,343790101,333660278,0,0,0,11.10185467,20.82870847,10.62400668,20.35633108,21.15263117,18.16385247,21.15263117,19.65554186,19.6256339,0,0,0,4/1/2024,6/30/2024,656,459,71534,1084014056,41717,740674816,1564219163,80799889,341269598,334901125,0,0,0,11.17794212,20.80393671,10.63868797,20.42307224,21.19919284,18.23102686,21.19919284,19.64818334,19.6293459,0,0,0
SHARP MESA VISTA HOSPITAL,San Diego,1/1/2024,3/31/2024,Comparable,N/A,149,96,14328,89012566,8725,26150710,96131007,0,19032269,26100340,0,0,0,9.570040735,18.30428812,9.074062354,17.07938694,18.42093939,15.46989946,18.42093939,16.76164652,17.07745894,0,0,0,4/1/2024,6/30/2024,149,100,14215,90977480,9081,27779248,93481933,539512,25814307,26794422,0,0,0,9.56212337,18.32612257,9.114049712,17.13979986,18.74831613,14.71736316,18.74831613,17.06643947,17.10370433,0,0,0
SHASTA REGIONAL MEDICAL CENTER,Shasta,1/1/2024,3/31/2024,Comparable,N/A,178,104,12872,145629599,7309,84868039,189099818,0,41397820,46099158,0,0,0,9.462887374,18.79657697,8.896998553,18.25660814,19.07817318,15.46989946,19.07817318,17.5387388,17.64630526,0,0,0,4/1/2024,6/30/2024,178,103,14163,141500475,7198,82193637,181485759,0,42208353,44423182,0,0,0,9.558458813,18.76781364,8.881697406,18.22458846,19.23945618,14.47025573,19.23945618,17.55812872,17.60927203,0,0,0
SHERMAN OAKS HOSPITAL,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,153,153,6110,91415414,7898,21266126,87765825,0,24915715,25375138,0,0,0,8.717845705,18.33092468,8.974491448,16.87262608,18.33360412,15.46989946,18.33360412,17.03100933,17.04928047,0,0,0,4/1/2024,6/30/2024,153,107,6433,85249204,7527,21915774,82134032,0,25030946,24935553,0,0,0,8.769351708,18.26108935,8.926384681,16.90271726,18.66300234,14.47025573,18.66300234,17.0356235,17.03180521,0,0,0
SHRINERS HOSPITAL FOR CHILDREN - NORTHERN CALIFORNIA,Sacramento,1/1/2024,3/31/2024,Shriners Hospitals,N/A,70,70,6856,29343214,2114,14908336,37108408,0,7143142,25312263,0,0,0,8.833025307,17.1945719,7.656810091,16.51743114,17.52916235,15.46989946,17.52916235,15.78166343,17.04679958,0,0,0,4/1/2024,6/30/2024,70,70,10548,25330835,1778,16542561,30055227,0,11818169,24497764,0,0,0,9.263786348,17.04753303,7.483806688,16.62144713,18.1375428,14.47025573,18.1375428,16.28514874,17.01409245,0,0,0
SIERRA NEVADA MEMORIAL HOSPITAL,Nevada,1/1/2024,3/31/2024,Comparable,Rural,104,59,28963,101177223,4951,118264063,167007245,109967,52544008,48720509,0,0,0,10.27380896,18.43238423,8.507546814,18.58843051,18.95660147,15.49070812,18.95660147,17.77716164,17.70161065,0,0,0,4/1/2024,6/30/2024,104,53,28585,92072329,4427,128672956,170622490,115412,50238207,49541752,0,0,0,10.26067237,18.33808502,8.395703294,18.67278453,19.19036688,14.52849174,19.19036688,17.73228641,17.71832637,0,0,0
SIERRA VIEW MEDICAL CENTER,Tulare,1/1/2024,3/31/2024,Comparable,N/A,167,167,40252,69685462,7930,98896072,129237945,0,39343589,43579294,0,0,0,10.60293981,18.05950229,8.97853441,18.40958009,18.70685773,15.46989946,18.70685773,17.48784362,17.59009271,0,0,0,4/1/2024,6/30/2024,167,135,42865,70231533,7879,108490973,135246003,0,43476503,44093346,0,0,0,10.66583425,18.06730797,8.972083183,18.50217754,19.0114206,14.47025573,19.0114206,17.58773121,17.60181947,0,0,0
SIERRA VISTA HOSPITAL,Sacramento,1/1/2024,3/31/2024,Comparable,N/A,171,171,2710,29842000,14921,3538947,14129387,0,19251560,13742794,0,0,1999456,7.905072849,17.21142739,9.610591913,15.07934007,16.70722852,15.46989946,16.70722852,16.77310271,16.43602524,0,0,14.5083862,4/1/2024,6/30/2024,171,171,2788,29048000,14526,3963285,14824234,0,18187051,13674447,0,0,1809652,7.933438388,17.18446023,9.583764266,15.19258404,17.91169662,14.47025573,17.91169662,16.71622047,16.43103954,0,0,14.40864567
SIERRA VISTA REGIONAL MEDICAL CENTER,San Luis Obispo,1/1/2024,3/31/2024,Comparable,N/A,141,69,9375,228590439,5941,141382175,320586902,0,49385712,47536306,0,0,0,9.145908512,19.24744249,8.689801056,18.76697725,19.59773989,15.46989946,19.59773989,17.71517173,17.67700433,0,0,0,4/1/2024,6/30/2024,141,69,7462,224378999,5934,149157774,321236762,0,52300011,52410407,0,0,0,8.917712757,19.22884714,8.688622307,18.8205152,19.71957216,14.47025573,19.71957216,17.77250716,17.77461576,0,0,0
SONOMA COUNTY HEALING CENTER - PHF,Sonoma,1/1/2024,3/31/2024,Comparable,N/A,16,16,0,1361881,1287,0,0,0,1361881,1638273,0,0,193800,0,14.12437812,7.160845907,0,15.17516855,15.46989946,15.17516855,14.12437812,14.30915381,0,0,12.17458714,4/1/2024,6/30/2024,16,16,0,1341943,1231,0,0,0,1341943,1615390,0,0,193800,0,14.10962987,7.116394144,0,17.6285164,14.47025573,17.6285164,14.10962987,14.29508759,0,0,12.17458714
SONOMA SPECIALTY HOSPITAL,Sonoma,1/1/2024,3/31/2024,Comparable,Rural,58,58,0,37435533,4975,0,20589543,0,16845990,11543941,0,0,0,0,17.43813092,8.512381634,0,17.0135469,15.46989946,17.0135469,16.63962326,16.26167136,0,0,0,4/1/2024,6/30/2024,58,58,0,37131997,4885,0,20422597,0,16709400,10892611,0,0,0,0,17.42998964,8.494129252,0,18.00074578,14.47025573,18.00074578,16.63148205,16.20359532,0,0,0
SONOMA VALLEY HOSPITAL,Sonoma,1/1/2024,3/31/2024,Comparable,N/A,51,38,20987,20110035,3131,64021035,65314931,80108,18896247,19859087,0,0,0,9.951706125,16.81672955,8.049427057,17.97472227,18.05265291,15.4851007,18.05265291,16.75447394,16.80417229,0,0,0,4/1/2024,6/30/2024,51,39,20660,18646527,3005,65419958,67858463,70224,16278246,17087243,0,0,0,9.936003144,16.74117052,8.00836557,17.99633795,18.54417916,14.50609245,18.54417916,16.60534023,16.65384278,0,0,0
SOUTH COAST GLOBAL MEDICAL CENTER,Orange,1/1/2024,3/31/2024,Comparable,N/A,178,178,3819,56883553,6108,27774194,68210024,0,16447723,18132077,0,0,557050,8.248005702,17.85651682,8.717518373,17.13961791,18.09363235,15.46989946,18.09363235,16.61569767,16.71319319,0,0,13.23041208,4/1/2024,6/30/2024,178,178,3823,48554578,5215,27418196,69136834,0,6835940,16983452,0,0,574050,8.249052274,17.69819906,8.559486104,17.12671748,18.55541434,14.47025573,18.55541434,15.73770469,16.64775008,0,0,13.26047352
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,598,341,6734,401158410,31026,49102462,342656977,21448645,129052540,108627408,0,0,0,8.815073089,19.80986695,10.34261307,17.70941975,19.66354297,17.09936961,19.66354297,18.67573017,18.50343432,0,0,0,4/1/2024,6/30/2024,598,322,6892,384281274,29240,52937684,335127123,21462471,123554306,110013726,0,0,0,8.838261683,19.76688533,10.28332711,17.78462603,19.75676933,16.96769613,19.75676933,18.63219135,18.51611571,0,0,0
SOUTHERN INYO HOSPITAL,Inyo,1/1/2024,3/31/2024,Comparable,Rural,37,37,757,2015814,2565,4052438,2553557,0,3514695,4948007,0,0,574653,6.630683386,14.51653414,7.850103545,15.21482948,15.67934539,15.46989946,15.67934539,15.07246359,15.41449563,0,0,13.2615234,4/1/2024,6/30/2024,37,37,1386,1955074,2902,5079626,3174752,0,3859948,4806098,0,0,614724,7.23489842,14.48593911,7.973499964,15.44074839,17.69627218,14.47025573,17.69627218,15.16616453,15.38539629,0,0,13.32893029
SOUTHWEST HEALTHCARE SYSTEM - MURRIETA,Riverside,1/1/2024,3/31/2024,Comparable,N/A,240,240,26923,429199606,17757,359417890,682316540,0,106300956,99087722,0,0,0,10.20077336,19.87743265,9.784591398,19.69999631,20.3466963,15.46989946,20.3466963,18.48178485,18.41151611,0,0,0,4/1/2024,6/30/2024,240,240,27889,422925856,17510,377623420,690363964,0,110185312,97296582,0,0,0,10.23602348,19.86270744,9.770584534,19.74940802,20.41626546,14.47025573,20.41626546,18.51767417,18.39327443,0,0,0
ST. AGNES MEDICAL CENTER,Fresno,1/1/2024,3/31/2024,Comparable,Teaching,436,382,41470,361094429,29226,255179613,481379527,0,134894515,187267201,0,0,256034,10.63274967,19.70465006,10.28284822,19.35747822,20.00022504,15.46989946,20.00022504,18.72000367,19.04804704,0,0,12.45306943,4/1/2024,6/30/2024,436,382,43016,361049274,28733,282513568,478135053,0,165427789,176583968,0,0,193448,10.66935067,19.704525,10.26583637,19.45923714,20.07589745,14.47025573,20.07589745,18.92404534,18.98930707,0,0,12.17276919
ST. BERNARDINE MEDICAL CENTER,San Bernardino,1/1/2024,3/31/2024,Comparable,Teaching,278,247,35660,450403442,20446,203455221,524449238,0,129409425,130171061,0,0,0,10.48181293,19.92565428,9.925591451,19.1309565,20.08525833,15.46989946,20.08525833,18.67849178,18.68436,0,0,0,4/1/2024,6/30/2024,278,222,38485,439292270,18415,221810938,526904747,70604,134269065,131230794,0,0,0,10.55804982,19.90067551,9.820975131,19.21733595,20.16498359,14.50628292,20.16498359,18.7153563,18.69246812,0,0,0
ST. ELIZABETH COMMUNITY HOSPITAL,Tehama,1/1/2024,3/31/2024,Comparable,Rural,49,30,59850,51674234,2549,116520278,124505709,635144,44323947,40622993,0,0,0,10.99961342,17.76046986,7.843848638,18.57357588,18.67066539,15.58451764,18.67066539,17.60703568,17.51984482,0,0,0,4/1/2024,6/30/2024,49,28,48854,47514083,2332,116549555,119145549,243209,45161298,39786083,0,0,0,10.79661201,17.67653673,7.754910272,18.57382711,18.9180071,14.58925153,18.9180071,17.62575106,17.49902776,0,0,0
ST. FRANCIS MEDICAL CENTER,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,354,326,17427,368220658,22831,95411858,341836648,2310570,124106438,97997891,0,0,0,9.765833387,19.72419293,10.03591834,18.37371344,19.66117305,15.83579282,19.66117305,18.63665013,18.40045653,0,0,0,4/1/2024,6/30/2024,354,307,18386,349625970,21488,101364261,329181564,4376664,126185331,94226029,0,0,0,9.819399172,19.67237449,9.975296455,18.43423114,19.7410167,15.65626906,19.7410167,18.65326227,18.36120703,0,0,0
ST. FRANCIS MEMORIAL HOSPITAL,San Francisco,1/1/2024,3/31/2024,Comparable,N/A,172,82,15752,154320453,6863,80534295,189309552,64732,45609928,63307489,0,0,0,9.664786102,18.85454187,8.834045641,18.20419369,19.07925932,15.48220082,19.07925932,17.63563599,17.96351421,0,0,0,4/1/2024,6/30/2024,172,76,15751,149192667,6352,74583022,176134685,212067,47853071,61049121,0,0,0,9.66472262,18.8207491,8.756682421,18.12742347,19.21557662,14.57478203,19.21557662,17.68364587,17.92718938,0,0,0
ST. JOHN'S REGIONAL MEDICAL CENTER,Ventura,1/1/2024,3/31/2024,Comparable,N/A,373,299,38893,403602547,24805,282046553,531692774,352422,154308748,161436977,0,0,0,10.56859528,19.81594116,10.11884084,19.4575827,20.09887509,15.53511233,20.09887509,18.85446602,18.8996254,0,0,0,4/1/2024,6/30/2024,373,309,38170,422080225,25614,300565653,554979716,615641,168281803,161824864,0,0,0,10.54983134,19.86070596,10.1509334,19.52117677,20.21288357,14.74778999,20.21288357,18.94115054,18.90202523,0,0,0
ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,San Joaquin,1/1/2024,3/31/2024,Comparable,N/A,35,33,1917,10199558,2797,1133582,5622345,0,5710795,6881680,0,0,0,7.559038255,16.13785504,7.936660155,13.94089397,16.06861188,15.46989946,16.06861188,15.55786898,15.74437351,0,0,0,4/1/2024,6/30/2024,35,35,2042,10415012,2936,1187116,6216527,0,5385601,6762190,0,0,0,7.622174595,16.15875888,7.985143931,13.98703824,17.75714838,14.47025573,17.75714838,15.49923965,15.72685751,0,0,0
ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,San Joaquin,1/1/2024,3/31/2024,Comparable,Teaching,355,282,53939,730416353,23374,426345580,940960136,568069,216369866,192762894,0,0,0,10.8956276,20.40912528,10.05942235,19.8707608,20.66654203,15.57301531,20.66654203,19.19249985,19.07697147,0,0,0,4/1/2024,6/30/2024,355,281,68850,727558925,23320,444398810,976363618,837381,196431498,188218295,0,0,0,11.13970003,20.40520555,10.05710952,19.91223294,20.74468478,14.83147756,20.74468478,19.09582432,19.053113,0,0,0
ST. MARY MEDICAL CENTER - LONG BEACH,Los Angeles,1/1/2024,3/31/2024,Comparable,Teaching,307,199,21503,268218401,16483,104090295,288519609,9195050,92984137,115550089,0,0,0,9.975994243,19.40731214,9.710145492,18.46076931,19.49368277,16.48446873,19.49368277,18.34793948,18.56521467,0,0,0,4/1/2024,6/30/2024,307,182,22451,260704319,15135,113916206,271084913,9668515,113204127,113995476,0,0,0,10.01913498,19.37889745,9.624831291,18.55097371,19.57242699,16.26592643,19.57242699,18.54470319,18.55166933,0,0,0
ST. MARY'S MEDICAL CENTER - SAN FRANCISCO,San Francisco,1/1/2024,3/31/2024,Comparable,Teaching,203,83,15178,164259628,6941,76012402,190770673,93181,49594538,80516831,0,0,0,9.627668173,18.91695884,8.845345196,18.14640708,19.08679343,15.48755964,19.08679343,17.71939128,18.20397681,0,0,0,4/1/2024,6/30/2024,203,75,15431,150370565,6235,77436906,180277009,174077,47704539,71485674,0,0,0,9.644198555,18.82861325,8.73809423,18.16497406,19.23411168,14.55684248,19.23411168,17.68053713,18.08500764,0,0,0
ST. ROSE HOSPITAL,Alameda,1/1/2024,3/31/2024,Comparable,N/A,171,40,8583,75786629,3332,36054443,70947157,0,40893915,42317454,0,0,0,9.057655284,18.14343245,8.111628078,17.40054069,18.13089002,15.46989946,18.13089002,17.52649186,17.56071021,0,0,0,4/1/2024,6/30/2024,171,40,8794,75967177,3366,36032162,63672730,0,48326609,34262398,0,0,0,9.081938657,18.14581194,8.121777419,17.39992251,18.50648303,14.47025573,18.50648303,17.6934929,17.34955907,0,0,0
STABLER LANE BEHAVIORAL HEALTH - PHF,Sutter,1/1/2024,3/31/2024,Psychiatric Health Facilities,N/A,16,16,0,1531860,1428,0,0,0,1531860,1275454,0,0,0,0,14.24199389,7.264730178,0,15.17516855,15.46989946,15.17516855,14.24199389,14.05881354,0,0,0,4/1/2024,6/30/2024,16,16,0,1506540,1412,0,0,0,1506540,2364488,0,0,0,0,14.22532685,7.253470383,0,17.6285164,14.47025573,17.6285164,14.22532685,14.67607249,0,0,0
